Date : 2022-04-22 20:04:12
Directory : d:\系统默认\桌面\vue3-ts-cms
Total : 2973 files,  152811 codes, 4978 comments, 11886 blanks, all 169675 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| .history\src\service\main                                                                            |         32 |        418 |         12 |         49 |        479 |
| .history\src\service\main\analysis                                                                   |         16 |        193 |         12 |         17 |        222 |
| .history\src\service\main\system                                                                     |         16 |        225 |          0 |         32 |        257 |
| .history\src\service\request                                                                         |         36 |        583 |        108 |        186 |        877 |
| .history\src\store                                                                                   |        271 |     12,161 |        876 |      1,104 |     14,141 |
| .history\src\store\login                                                                             |         34 |      1,835 |          3 |        182 |      2,020 |
| .history\src\store\main                                                                              |        195 |      8,565 |        833 |        812 |     10,210 |
| .history\src\store\main\analysis                                                                     |         38 |        772 |          4 |         79 |        855 |
| .history\src\store\main\system                                                                       |        157 |      7,793 |        829 |        733 |      9,355 |
| .history\src\utils                                                                                   |        116 |      3,377 |        773 |        363 |      4,513 |
| .history\src\views                                                                                   |      1,003 |     50,344 |        274 |      5,072 |     55,690 |
| .history\src\views\404                                                                               |          2 |         14 |          0 |          3 |         17 |
| .history\src\views\login                                                                             |        299 |     13,334 |        171 |      1,428 |     14,933 |
| .history\src\views\login\config                                                                      |          9 |        190 |          0 |          9 |        199 |
| .history\src\views\login\cpns                                                                        |        273 |     12,758 |        171 |      1,378 |     14,307 |
| .history\src\views\main                                                                              |        689 |     36,889 |        100 |      3,619 |     40,608 |
| .history\src\views\main\analysis                                                                     |        139 |      6,401 |         17 |        717 |      7,135 |
| .history\src\views\main\analysis\dashboard                                                           |        139 |      6,401 |         17 |        717 |      7,135 |
| .history\src\views\main\product                                                                      |         35 |        862 |          0 |         74 |        936 |
| .history\src\views\main\product\goods                                                                |         35 |        862 |          0 |         74 |        936 |
| .history\src\views\main\product\goods\config                                                         |         16 |        372 |          0 |         16 |        388 |
| .history\src\views\main\system                                                                       |        495 |     27,991 |         83 |      2,608 |     30,682 |
| .history\src\views\main\system\menu                                                                  |         15 |        334 |          6 |         34 |        374 |
| .history\src\views\main\system\menu\config                                                           |          9 |        219 |          6 |          9 |        234 |
| .history\src\views\main\system\role                                                                  |         99 |      5,523 |         23 |        648 |      6,194 |
| .history\src\views\main\system\role\config                                                           |         13 |        412 |          0 |         21 |        433 |
| .history\src\views\main\system\user                                                                  |        381 |     22,134 |         54 |      1,926 |     24,114 |
| .history\src\views\main\system\user\config                                                           |         43 |      1,502 |          0 |         68 |      1,570 |
| public                                                                                               |          1 |         16 |          1 |          1 |         18 |
| src                                                                                                  |        102 |      3,271 |        249 |        349 |      3,869 |
| src\assets                                                                                           |          4 |         94 |          1 |          3 |         98 |
| src\assets\css                                                                                       |          2 |         11 |          0 |          2 |         13 |
| src\assets\img                                                                                       |          2 |         83 |          1 |          1 |         85 |
| src\base-ui                                                                                          |         13 |        378 |         18 |         38 |        434 |
| src\base-ui\breadcrumb                                                                               |          3 |         33 |          0 |          3 |         36 |
| src\base-ui\breadcrumb\src                                                                           |          1 |         26 |          0 |          1 |         27 |
| src\base-ui\breadcrumb\types                                                                         |          1 |          4 |          0 |          1 |          5 |
| src\base-ui\card                                                                                     |          2 |         45 |          1 |         10 |         56 |
| src\base-ui\card\src                                                                                 |          1 |         43 |          1 |          8 |         52 |
| src\base-ui\echart                                                                                   |          3 |         47 |          0 |          7 |         54 |
| src\base-ui\echart\hooks                                                                             |          1 |         18 |          0 |          2 |         20 |
| src\base-ui\echart\src                                                                               |          1 |         27 |          0 |          4 |         31 |
| src\base-ui\form                                                                                     |          3 |        120 |         17 |          8 |        145 |
| src\base-ui\form\src                                                                                 |          1 |         99 |         17 |          6 |        122 |
| src\base-ui\form\types                                                                               |          1 |         18 |          0 |          1 |         19 |
| src\base-ui\table                                                                                    |          2 |        133 |          0 |         10 |        143 |
| src\base-ui\table\src                                                                                |          1 |        131 |          0 |          9 |        140 |
| src\components                                                                                       |         17 |        798 |         24 |         59 |        881 |
| src\components\nav-header                                                                            |          3 |        123 |          4 |         11 |        138 |
| src\components\nav-header\src                                                                        |          2 |        121 |          4 |          9 |        134 |
| src\components\nav-menu                                                                              |          2 |        129 |          8 |         15 |        152 |
| src\components\nav-menu\src                                                                          |          1 |        127 |          8 |         13 |        148 |
| src\components\page-content                                                                          |          2 |        157 |          4 |          9 |        170 |
| src\components\page-content\src                                                                      |          1 |        155 |          4 |          8 |        167 |
| src\components\page-echarts                                                                          |          6 |        232 |          3 |         14 |        249 |
| src\components\page-echarts\src                                                                      |          4 |        223 |          3 |         12 |        238 |
| src\components\page-echarts\types                                                                    |          1 |          4 |          0 |          1 |          5 |
| src\components\page-modal                                                                            |          2 |         86 |          0 |          4 |         90 |
| src\components\page-modal\src                                                                        |          1 |         84 |          0 |          3 |         87 |
| src\components\page-search                                                                           |          2 |         71 |          5 |          6 |         82 |
| src\components\page-search\src                                                                       |          1 |         69 |          5 |          5 |         79 |
| src\global                                                                                           |          3 |        102 |          1 |          6 |        109 |
| src\hooks                                                                                            |          3 |         49 |          5 |          6 |         60 |
| src\router                                                                                           |         13 |        111 |          0 |         15 |        126 |
| src\router\login                                                                                     |          1 |          0 |          0 |          1 |          1 |
| src\router\main                                                                                      |         11 |         70 |          0 |         11 |         81 |
| src\router\main\analysis                                                                             |          2 |         14 |          0 |          2 |         16 |
| src\router\main\analysis\dashboard                                                                   |          1 |          7 |          0 |          1 |          8 |
| src\router\main\analysis\overview                                                                    |          1 |          7 |          0 |          1 |          8 |
| src\router\main\product                                                                              |          2 |         14 |          0 |          2 |         16 |
| src\router\main\product\category                                                                     |          1 |          7 |          0 |          1 |          8 |
| src\router\main\product\goods                                                                        |          1 |          7 |          0 |          1 |          8 |
| src\router\main\story                                                                                |          2 |         14 |          0 |          2 |         16 |
| src\router\main\story\chat                                                                           |          1 |          7 |          0 |          1 |          8 |
| src\router\main\story\list                                                                           |          1 |          7 |          0 |          1 |          8 |
| src\router\main\system                                                                               |          4 |         28 |          0 |          4 |         32 |
| src\router\main\system\department                                                                    |          1 |          7 |          0 |          1 |          8 |
| src\router\main\system\menu                                                                          |          1 |          7 |          0 |          1 |          8 |
| src\router\main\system\role                                                                          |          1 |          7 |          0 |          1 |          8 |
| src\router\main\system\user                                                                          |          1 |          7 |          0 |          1 |          8 |
| src\service                                                                                          |         10 |        230 |        153 |         57 |        440 |
| src\service\login                                                                                    |          2 |         33 |         30 |          5 |         68 |
| src\service\main                                                                                     |          2 |         52 |          1 |          4 |         57 |
| src\service\main\analysis                                                                            |          1 |         27 |          1 |          1 |         29 |
| src\service\main\system                                                                              |          1 |         25 |          0 |          3 |         28 |
| src\service\request                                                                                  |          3 |        109 |         25 |         32 |        166 |
| src\store                                                                                            |          8 |        334 |         12 |         30 |        376 |
| src\store\login                                                                                      |          2 |         82 |          1 |         11 |         94 |
| src\store\main                                                                                       |          4 |        176 |          9 |         13 |        198 |
| src\store\main\analysis                                                                              |          2 |         53 |          0 |          4 |         57 |
| src\store\main\system                                                                                |          2 |        123 |          9 |          9 |        141 |
| src\utils                                                                                            |          3 |        115 |         26 |         13 |        154 |
| src\views                                                                                            |         25 |      1,009 |          4 |        109 |      1,122 |
| src\views\404                                                                                        |          1 |         14 |          0 |          2 |         16 |
| src\views\login                                                                                      |          5 |        217 |          0 |         31 |        248 |
| src\views\login\config                                                                               |          1 |         26 |          0 |          1 |         27 |
| src\views\login\cpns                                                                                 |          3 |        164 |          0 |         26 |        190 |
| src\views\main                                                                                       |         19 |        778 |          4 |         76 |        858 |
| src\views\main\analysis                                                                              |          2 |        104 |          1 |         11 |        116 |
| src\views\main\analysis\dashboard                                                                    |          1 |         89 |          1 |          7 |         97 |
| src\views\main\analysis\overview                                                                     |          1 |         15 |          0 |          4 |         19 |
| src\views\main\product                                                                               |          3 |         85 |          0 |          8 |         93 |
| src\views\main\product\category                                                                      |          1 |         15 |          0 |          4 |         19 |
| src\views\main\product\goods                                                                         |          2 |         70 |          0 |          4 |         74 |
| src\views\main\product\goods\config                                                                  |          1 |         33 |          0 |          1 |         34 |
| src\views\main\story                                                                                 |          2 |         30 |          0 |          8 |         38 |
| src\views\main\story\chat                                                                            |          1 |         15 |          0 |          4 |         19 |
| src\views\main\story\list                                                                            |          1 |         15 |          0 |          4 |         19 |
| src\views\main\system                                                                                |         11 |        470 |          3 |         38 |        511 |
| src\views\main\system\department                                                                     |          1 |         15 |          0 |          4 |         19 |
| src\views\main\system\menu                                                                           |          2 |         55 |          0 |          5 |         60 |
| src\views\main\system\menu\config                                                                    |          1 |         30 |          0 |          1 |         31 |
| src\views\main\system\role                                                                           |          4 |        167 |          2 |         16 |        185 |
| src\views\main\system\role\config                                                                    |          3 |         71 |          0 |          6 |         77 |
| src\views\main\system\user                                                                           |          4 |        233 |          1 |         13 |        247 |
| src\views\main\system\user\config                                                                    |          3 |        125 |          0 |          4 |        129 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                             | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\系统默认\桌面\vue3-ts-cms\.eslintrc.js                                                                  | JavaScript         |         25 |          0 |          1 |         26 |
| d:\系统默认\桌面\vue3-ts-cms\.history\.eslintrc_20220312104931.js                                          | JavaScript         |         24 |          0 |          1 |         25 |
| d:\系统默认\桌面\vue3-ts-cms\.history\.eslintrc_20220408150301.js                                          | JavaScript         |         25 |          0 |          1 |         26 |
| d:\系统默认\桌面\vue3-ts-cms\.history\babel.config_20220304141201.js                                       | JavaScript         |          3 |          0 |          1 |          4 |
| d:\系统默认\桌面\vue3-ts-cms\.history\babel.config_20220306131502.js                                       | JavaScript         |         14 |          0 |          1 |         15 |
| d:\系统默认\桌面\vue3-ts-cms\.history\commitlint.config_20220304150653.js                                  | JavaScript         |          0 |          0 |          1 |          1 |
| d:\系统默认\桌面\vue3-ts-cms\.history\commitlint.config_20220304151443.js                                  | JavaScript         |          3 |          0 |          1 |          4 |
| d:\系统默认\桌面\vue3-ts-cms\.history\package_20220304112515.json                                          | JSON               |         32 |          0 |          1 |         33 |
| d:\系统默认\桌面\vue3-ts-cms\.history\package_20220304141120.json                                          | JSON               |         33 |          0 |          1 |         34 |
| d:\系统默认\桌面\vue3-ts-cms\.history\package_20220304141152.json                                          | JSON               |         33 |          0 |          1 |         34 |
| d:\系统默认\桌面\vue3-ts-cms\.history\package_20220304150521.json                                          | JSON               |         44 |          0 |          1 |         45 |
| d:\系统默认\桌面\vue3-ts-cms\.history\package_20220304195602.json                                          | JSON               |         47 |          0 |          1 |         48 |
| d:\系统默认\桌面\vue3-ts-cms\.history\package_20220304195631.json                                          | JSON               |         47 |          0 |          1 |         48 |
| d:\系统默认\桌面\vue3-ts-cms\.history\package_20220304204452.json                                          | JSON               |         48 |          0 |          1 |         49 |
| d:\系统默认\桌面\vue3-ts-cms\.history\package_20220306131449.json                                          | JSON               |         51 |          0 |          1 |         52 |
| d:\系统默认\桌面\vue3-ts-cms\.history\package_20220309154926.json                                          | JSON               |         51 |          0 |          1 |         52 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\App_20220412204746.vue                                           | Vue                |         22 |          0 |          4 |         26 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\App_20220412204800.vue                                           | Vue                |         22 |          0 |          4 |         26 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\App_20220412204831.vue                                           | Vue                |         25 |          0 |          4 |         29 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\App_20220412204842.vue                                           | Vue                |         28 |          0 |          4 |         32 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\App_20220412204847.vue                                           | Vue                |         28 |          0 |          4 |         32 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\App_20220412204903.vue                                           | Vue                |         29 |          0 |          4 |         33 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\App_20220412204916.vue                                           | Vue                |         30 |          0 |          4 |         34 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\App_20220412204920.vue                                           | Vue                |         31 |          0 |          4 |         35 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\App_20220412204939.vue                                           | Vue                |         31 |          0 |          4 |         35 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\Myapp_20220308171001.vue                                         | Vue                |          0 |          0 |          1 |          1 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\Myapp_20220308171027.vue                                         | Vue                |          0 |          0 |          1 |          1 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\assets\css\base_20220308205324.css                               | CSS                |          0 |          0 |          1 |          1 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\assets\css\base_20220308205443.css                               | CSS                |         10 |          0 |          1 |         11 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\assets\css\index_20220308205451.less                             | Less               |          0 |          0 |          1 |          1 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\assets\css\index_20220308205517.less                             | Less               |          2 |          0 |          1 |          3 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\assets\css\index_20220308205536.less                             | Less               |          1 |          0 |          1 |          2 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\index_20220407220534.ts                       | TypeScript         |          0 |          0 |          1 |          1 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\index_20220407220845.ts                       | TypeScript         |          1 |          0 |          1 |          2 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\index_20220407220902.ts                       | TypeScript         |          1 |          0 |          1 |          2 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\index_20220407220946.ts                       | TypeScript         |          3 |          0 |          1 |          4 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\index_20220407220955.ts                       | TypeScript         |          3 |          0 |          1 |          4 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407220549.vue             | Vue                |          0 |          0 |          1 |          1 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407220555.vue             | Vue                |         12 |          0 |          2 |         14 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407220706.vue             | Vue                |         21 |          0 |          1 |         22 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407221441.vue             | Vue                |         25 |          0 |          1 |         26 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407221447.vue             | Vue                |         25 |          0 |          1 |         26 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407221517.vue             | Vue                |         28 |          0 |          1 |         29 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407221657.vue             | Vue                |         28 |          0 |          1 |         29 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407221724.vue             | Vue                |         27 |          0 |          2 |         29 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407221728.vue             | Vue                |         27 |          0 |          1 |         28 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407221751.vue             | Vue                |         27 |          0 |          1 |         28 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407222030.vue             | Vue                |         24 |          0 |          1 |         25 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407222045.vue             | Vue                |         24 |          0 |          1 |         25 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407222130.vue             | Vue                |         24 |          0 |          1 |         25 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407222135.vue             | Vue                |         24 |          0 |          1 |         25 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407222202.vue             | Vue                |         24 |          0 |          1 |         25 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407222206.vue             | Vue                |         24 |          0 |          1 |         25 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407222217.vue             | Vue                |         26 |          0 |          1 |         27 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\src\breadcrumb_20220407222951.vue             | Vue                |         26 |          0 |          1 |         27 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\types\index_20220407220741.ts                 | TypeScript         |          0 |          0 |          1 |          1 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\types\index_20220407220816.ts                 | TypeScript         |          4 |          0 |          1 |          5 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\types\index_20220407221821.ts                 | TypeScript         |          4 |          0 |          1 |          5 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\breadcrumb\types\index_20220407222934.ts                 | TypeScript         |          4 |          0 |          1 |          5 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422111517.ts                 | TypeScript         |          0 |          0 |          1 |          1 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422111544.ts                 | TypeScript         |          1 |          0 |          1 |          2 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422111627.ts                 | TypeScript         |          2 |          0 |          2 |          4 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422111636.ts                 | TypeScript         |          2 |          0 |          2 |          4 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422111709.ts                 | TypeScript         |          5 |          0 |          2 |          7 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422111720.ts                 | TypeScript         |          5 |          0 |          2 |          7 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422111803.ts                 | TypeScript         |          5 |          0 |          2 |          7 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422111854.ts                 | TypeScript         |          7 |          0 |          2 |          9 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422111930.ts                 | TypeScript         |         11 |          0 |          2 |         13 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422111946.ts                 | TypeScript         |         11 |          0 |          2 |         13 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422112323.ts                 | TypeScript         |         11 |          0 |          2 |         13 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422112416.ts                 | TypeScript         |         11 |          0 |          2 |         13 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422112749.ts                 | TypeScript         |         11 |          0 |          2 |         13 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422113012.ts                 | TypeScript         |         14 |          0 |          2 |         16 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422113037.ts                 | TypeScript         |         14 |          0 |          2 |         16 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422113122.ts                 | TypeScript         |         18 |          0 |          2 |         20 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422113725.ts                 | TypeScript         |         18 |          0 |          2 |         20 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422113730.ts                 | TypeScript         |         18 |          0 |          2 |         20 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422113738.ts                 | TypeScript         |         18 |          0 |          2 |         20 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422113757.ts                 | TypeScript         |         18 |          0 |          2 |         20 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\hooks\useEchart_20220422113801.ts                 | TypeScript         |         18 |          0 |          2 |         20 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\index_20220422095907.ts                           | TypeScript         |          0 |          0 |          1 |          1 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\index_20220422101738.ts                           | TypeScript         |          1 |          0 |          1 |          2 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\index_20220422101749.ts                           | TypeScript         |          2 |          0 |          1 |          3 |
| d:\系统默认\桌面\vue3-ts-cms\.history\src\base-ui\echart\src\base-echart_20220422095900.vue                | Vue                |          0 |          0 |          1 |          1 |
